1923 9 0.57
1923 10 0.94
1923 11 -0.15
1923 12 0.44
1924 1 0.45
1924 2 -0.73
1924 3 -2.4
1924 4 -1.05
1924 5 -0.07
1924 6 -0.21
1924 7 0.37
1924 8 0.24
1924 9 0.42
1924 10 0.04
1924 11 0.31
1924 12 1.54
1925 1 1.51
1925 2 1.19
1925 3 -0.34
1925 4 0.74
1925 5 0.07
1925 6 0.37
1925 7 0.04
1925 8 0.17
1925 9 0.25
1925 10 -0.45
1925 11 -0.88
1925 12 -1.32
1926 1 0.08
1926 2 0.01
1926 3 0.39
1926 4 0.36
1926 5 -0.96
1926 6 -0.6
1926 7 0.17
1926 8 -0.01
1926 9 0.13
1926 10 -1.19
1926 11 0.49
1926 12 -0.31
1927 1 1.12
1927 2 0.32
1927 3 0.86
1927 4 0.46
1927 5 -0.43
1927 6 0.03
1927 7 0.01
1927 8 -0.07
1927 9 -0.6
1927 10 -0.76
1927 11 0.38
1927 12 -2.07
1928 1 2.14
1928 2 1.81
1928 3 -0.65
1928 4 0.14
1928 5 -0.91
1928 6 -0.65
1928 7 0.6
1928 8 -0.27
1928 9 -0.01
1928 10 0.49
1928 11 0.47
1928 12 0.45
1929 1 -2.24
1929 2 -0.48
1929 3 0.3
1929 4 -0.75
1929 5 0.42
1929 6 -0.24
1929 7 0.1
1929 8 0
1929 9 0.47
1929 10 0.87
1929 11 0.41
1929 12 1.4
1930 1 1.19
1930 2 -0.12
1930 3 -0.41
1930 4 -0.64
1930 5 0.42
1930 6 0.56
1930 7 -0.3
1930 8 -0.41
1930 9 -1.3
1930 10 0.08
1930 11 0.89
1930 12 0.38
1931 1 -0.42
1931 2 0.25
1931 3 -2.44
1931 4 0.26
1931 5 -0.36
1931 6 -0.4
1931 7 0.05
1931 8 -0.39
1931 9 -0.51
1931 10 -0.02
1931 11 0.83
1931 12 0.46
1932 1 1.29
1932 2 -1.23
1932 3 -1.36
1932 4 -0.18
1932 5 -0.6
1932 6 -0.47
1932 7 -0.32
1932 8 0.3
1932 9 0.14
1932 10 0.24
1932 11 0.62
1932 12 1.07
1933 1 0.81
1933 2 -1.43
1933 3 -0.32
1933 4 -0.66
1933 5 -0.32
1933 6 0.05
1933 7 0.41
1933 8 0.66
1933 9 -0.55
1933 10 -0.63
1933 11 -0.13
1933 12 -0.18
1934 1 1.6
1934 2 1.3
1934 3 1
1934 4 -0.68
1934 5 1.11
1934 6 -0.69
