2433297.0084722     0.920
2433328.0084722     0.400
2433356.0084722    -0.360
2433387.0084722     0.730
2433417.0084722    -0.590
2433448.0084722    -0.060
2433478.0084722    -1.260
2433509.0084722    -0.050
2433540.0084722     0.250
2433570.0084722     0.850
2433601.0084722    -1.260
2433631.0084722    -1.020
2433662.0084722     0.080
2433693.0084722     0.700
2433721.0084722    -1.020
2433752.0084722    -0.220
2433782.0084722    -0.590
2433813.0084722    -1.640
2433843.0084722     1.370
2433874.0084722    -0.220
2433905.0084722    -1.360
2433935.0084722     1.870
2433966.0084722    -0.390
2433996.0084722     1.320
2434027.0084722     0.930
2434058.0084722    -0.830
2434087.0084722    -1.490
2434118.0084722     1.010
2434148.0084722    -1.120
2434179.0084722    -0.400
2434209.0084722    -0.090
2434240.0084722    -0.280
2434271.0084722    -0.540
2434301.0084722    -0.730
2434332.0084722    -1.130
2434362.0084722    -0.430
2434393.0084722     0.330
2434424.0084722    -0.490
2434452.0084722    -0.040
2434483.0084722    -1.670
2434513.0084722    -0.660
2434544.0084722     1.090
2434574.0084722     0.400
2434605.0084722    -0.710
2434636.0084722    -0.350
2434666.0084722     1.320
2434697.0084722     1.040
2434727.0084722    -0.470
2434758.0084722     0.370
2434789.0084722     0.740
2434817.0084722    -0.830
2434848.0084722     1.340
2434878.0084722    -0.090
2434909.0084722    -0.250
2434939.0084722    -0.600
2434970.0084722    -1.900
2435001.0084722    -0.440
2435031.0084722     0.600
2435062.0084722     0.400
2435092.0084722     0.690
2435123.0084722    -1.840
2435154.0084722    -1.120
2435182.0084722    -0.530
2435213.0084722    -0.420
2435243.0084722    -0.340
2435274.0084722    -1.100
2435304.0084722     1.760
2435335.0084722     1.070
2435366.0084722     0.320
2435396.0084722    -1.470
2435427.0084722    -1.290
2435457.0084722     0.170
2435488.0084722    -0.220
2435519.0084722    -1.120
2435548.0084722    -0.050
2435579.0084722    -1.060
2435609.0084722     2.210
2435640.0084722     0.100
2435670.0084722    -0.750
2435701.0084722    -1.370
