 5158 2451957.2500000  284.850 8.690 1009.670
 5158 2451957.5000000  284.860 9.100 1008.710
 5158 2451957.7500000  284.250 9.580 1010.500
 5158 2451958.0000000  283.590 9.600 1011.310
 5158 2451958.2500000  285.190 9.270 1010.900
 5158 2451958.5000000  285.300 9.410 1009.990
 5158 2451958.7500000  284.610 9.770 1012.420
 5158 2451959.0000000  283.790 9.570 1012.880
 5158 2451959.2500000  285.170 9.170 1012.320
 5158 2451959.5000000  284.880 9.350 1010.640
 5158 2451959.7500000  284.430 9.390 1012.400
