 5703 2451965.0000000  332.040 63.220 1016.800
 5703 2451965.2500000  334.630 63.670 1016.250
 5703 2451965.5000000  340.650 62.570 1015.360
 5703 2451965.7500000  345.070 61.490 1012.870
 5703 2451966.0000000  347.400 60.060 1011.230
 5703 2451966.2500000  350.460 56.750 1007.280
 5703 2451966.5000000  351.550 55.970 1004.230
 5703 2451966.7500000  353.120 55.110 999.870
 5703 2451967.0000000  354.890 54.320 994.910
 5703 2451967.2500000  355.910 53.120 989.720
 5703 2451967.5000000  356.590 51.980 988.180
 5703 2451967.7500000  356.610 49.830 986.810
 5703 2451968.0000000  357.330 48.310 987.820
 5703 2451968.2500000  358.390 47.590 988.260
 5703 2451968.5000000  359.320 47.710 989.950
