 8107 2451977.5000000  280.280 38.750 1012.110
 8107 2451977.7500000  282.490 39.900 1012.270
 8107 2451978.0000000  284.400 41.190 1010.690
 8107 2451978.2500000  288.450 39.160 1007.700
 8107 2451978.5000000  291.190 40.570 1002.840
 8107 2451978.7500000  292.390 42.520 997.890
 8107 2451979.0000000  293.340 43.440 994.310
 8107 2451979.2500000  295.580 45.060 990.900
 8107 2451979.5000000  297.150 46.400 989.020
 8107 2451979.7500000  299.270 47.480 988.630
 8107 2451980.0000000  301.950 49.680 988.070
 8107 2451980.2500000  304.280 51.920 985.650
 8107 2451980.5000000  306.660 53.450 985.190
 8107 2451980.7500000  308.680 55.700 982.820
 8107 2451981.0000000  308.180 56.430 986.230
 8107 2451981.2500000  308.990 56.280 989.430
 8107 2451981.5000000  309.720 56.600 991.030
 8107 2451981.7500000  309.670 56.710 993.100
 8107 2451982.0000000  309.550 56.710 997.680
 8107 2451982.2500000  310.260 56.580 1002.220
 8107 2451982.5000000  311.600 56.360 1005.740
 8107 2451982.7500000  312.780 56.050 1007.070
 8107 2451983.0000000  313.440 56.080 1009.080
