14246 2452051.2500000  270.110 46.420 996.160
14246 2452051.5000000  270.810 48.600 995.700
14246 2452051.7500000  270.470 48.960 992.040
14246 2452052.0000000  269.580 49.570 990.270
14246 2452052.2500000  268.280 49.280 994.380
14246 2452052.5000000  268.370 48.150 999.050
14246 2452052.7500000  267.990 46.870 1000.180
14246 2452053.0000000  267.810 45.250 1000.750
14246 2452053.2500000  268.810 44.140 1002.620
14246 2452053.5000000  269.050 43.370 1004.340
14246 2452053.7500000  269.560 42.300 1005.470
14246 2452054.0000000  270.150 41.570 1007.180
14246 2452054.2500000  273.560 40.230 1007.720
14246 2452054.5000000  270.850 41.540 1008.880
14246 2452054.7500000  270.820 41.710 1008.890
14246 2452055.0000000  269.230 42.110 1009.720
14246 2452055.2500000  269.410 42.710 1009.670
14246 2452055.5000000  269.160 43.340 1008.480
14246 2452055.7500000  266.800 44.000 1007.330
14246 2452056.0000000  267.360 42.300 1005.300
14246 2452056.2500000  269.960 40.940 1005.000
14246 2452056.5000000  272.730 41.350 1004.210
