25496 2452242.7500000  268.980 31.540 1012.730
25496 2452243.0000000  268.990 30.800 1010.640
25496 2452243.2500000  270.310 33.840 1010.070
25496 2452243.5000000  270.960 36.530 1005.930
25496 2452243.7500000  271.380 39.640 1003.850
25496 2452244.0000000  272.690 41.870 1004.210
25496 2452244.2500000  275.380 44.070 1004.820
25496 2452244.5000000  276.610 45.660 1004.930
25496 2452244.7500000  280.290 48.010 1002.790
25496 2452245.0000000  284.500 50.280 999.880
25496 2452245.2500000  289.050 51.580 996.170
25496 2452245.5000000  295.010 51.930 995.150
25496 2452245.7500000  300.740 51.730 996.690
