 7056 2451983.5000000  266.890 28.490 1003.890
 7056 2451983.7500000  270.400 29.980 1004.700
 7056 2451984.0000000  273.460 32.500 1003.610
 7056 2451984.2500000  278.430 33.660 1004.080
 7056 2451984.5000000  284.850 36.200 1004.510
 7056 2451984.7500000  289.470 37.350 1004.850
 7056 2451985.0000000  295.510 38.130 1006.040
 7056 2451985.2500000  302.520 39.680 1003.360
 7056 2451985.5000000  309.410 41.750 998.800
 7056 2451985.7500000  315.830 43.010 991.700
 7056 2451986.0000000  320.770 44.300 985.710
 7056 2451986.2500000  324.450 46.010 978.040
 7056 2451986.5000000  326.080 47.740 972.730
 7056 2451986.7500000  326.030 48.950 970.180
 7056 2451987.0000000  324.730 49.680 969.870
 7056 2451987.2500000  323.140 49.750 968.140
 7056 2451987.5000000  322.150 49.500 968.610
 7056 2451987.7500000  320.840 48.980 968.530
 7056 2451988.0000000  319.840 48.410 968.970
 7056 2451988.2500000  318.960 47.610 969.850
