16345 2452111.0000000  267.110 57.770 1006.220
16345 2452111.2500000  270.200 57.010 1005.370
16345 2452111.5000000  275.130 56.260 1005.070
16345 2452111.7500000  280.020 56.810 1003.140
16345 2452112.0000000  282.840 56.810 1001.760
16345 2452112.2500000  289.170 55.680 1000.440
16345 2452112.5000000  290.500 54.830 1000.850
16345 2452112.7500000  293.380 54.240 1001.410
16345 2452113.0000000  296.750 52.770 1003.170
16345 2452113.2500000  299.180 51.580 1003.910
16345 2452113.5000000  304.240 51.560 1005.060
16345 2452113.7500000  308.880 51.770 1004.720
16345 2452114.0000000  311.410 51.690 1005.770
16345 2452114.2500000  314.070 51.820 1006.450
16345 2452114.5000000  305.890 49.930 1005.010
16345 2452114.7500000  310.600 50.560 1004.170
16345 2452115.0000000  314.620 51.010 1005.010
16345 2452115.2500000  316.280 51.420 1005.120
