 6453 2451975.0000000  340.760 65.940 1003.290
 6453 2451975.2500000  341.630 65.690 999.540
 6453 2451975.5000000  343.280 66.540 998.580
 6453 2451975.7500000  344.720 67.290 996.810
 6453 2451976.0000000  346.180 67.790 996.100
 6453 2451976.2500000  348.770 68.800 995.870
 6453 2451976.5000000  352.090 69.810 996.210
 6453 2451976.7500000  349.860 67.040 990.710
 6453 2451977.0000000  351.840 68.440 992.560
 6453 2451977.2500000  355.950 70.210 992.950
 6453 2451977.5000000  358.420 71.330 993.240
