 8905 2451989.0000000  262.510 54.080 1007.280
 8905 2451989.2500000  265.620 54.640 1006.920
 8905 2451989.5000000  268.260 55.190 1007.340
 8905 2451989.7500000  270.740 55.550 1007.370
 8905 2451990.0000000  272.510 56.350 1007.030
 8905 2451990.2500000  273.410 57.330 1007.270
 8905 2451990.5000000  273.480 58.310 1007.370
 8905 2451990.7500000  272.970 59.040 1007.220
 8905 2451991.0000000  271.660 59.520 1006.200
 8905 2451991.2500000  270.960 59.740 1005.840
 8905 2451991.5000000  270.270 59.780 1006.390
 8905 2451991.7500000  269.480 59.400 1006.900
 8905 2451992.0000000  268.800 58.610 1008.560
 8905 2451992.2500000  268.370 57.460 1011.870
 8905 2451992.5000000  268.480 56.060 1016.060
 8905 2451992.7500000  270.030 54.720 1018.310
 8905 2451993.0000000  272.080 52.970 1021.180
