 3540 2451933.0000000  288.030 31.480 1010.970
 3540 2451933.2500000  288.600 33.170 1006.930
 3540 2451933.5000000  289.260 34.580 1006.640
 3540 2451933.7500000  293.170 37.560 1005.290
 3540 2451934.0000000  298.980 40.960 1003.570
 3540 2451934.2500000  302.680 42.360 1000.050
 3540 2451934.5000000  309.250 44.680 1000.110
 3540 2451934.7500000  317.830 46.730 996.710
 3540 2451935.0000000  325.370 47.950 994.850
 3540 2451935.2500000  333.110 48.420 993.460
 3540 2451935.5000000  340.930 48.110 993.110
 3540 2451935.7500000  347.190 47.470 991.180
 3540 2451936.0000000  353.160 47.110 990.890
 3540 2451936.2500000  357.660 47.570 991.180
