 7366 2451987.7500000  271.510 23.480 1011.100
 7366 2451988.0000000  272.800 24.240 1010.130
 7366 2451988.2500000  273.650 25.270 1011.670
 7366 2451988.5000000  274.970 26.750 1009.960
 7366 2451988.7500000  275.630 29.390 1008.460
 7366 2451989.0000000  275.860 31.560 1005.130
 7366 2451989.2500000  278.540 31.530 1007.880
 7366 2451989.5000000  279.600 32.650 1006.980
 7366 2451989.7500000  281.180 33.680 1006.900
 7366 2451990.0000000  281.910 35.100 1004.920
 7366 2451990.2500000  282.710 35.930 1003.480
 7366 2451990.5000000  284.820 37.160 1001.840
 7366 2451990.7500000  287.180 38.290 999.120
 7366 2451991.0000000  288.320 39.330 996.390
 7366 2451991.2500000  289.660 40.040 993.400
 7366 2451991.5000000  290.930 41.120 990.810
 7366 2451991.7500000  291.790 41.840 989.770
 7366 2451992.0000000  293.070 42.770 988.910
 7366 2451992.2500000  293.870 43.980 988.730
 7366 2451992.5000000  294.490 44.980 988.840
 7366 2451992.7500000  295.190 45.990 988.250
 7366 2451993.0000000  295.510 47.060 988.340
 7366 2451993.2500000  295.430 47.980 988.970
 7366 2451993.5000000  295.200 48.840 991.310
 7366 2451993.7500000  295.190 49.250 990.980
 7366 2451994.0000000  295.400 49.620 992.010
 7366 2451994.2500000  295.570 50.410 993.970
 7366 2451994.5000000  297.520 51.700 997.120
