20866 2452175.2500000  261.380 45.710 1011.800
20866 2452175.5000000  263.890 42.430 1011.690
20866 2452175.7500000  266.930 42.030 1013.720
20866 2452176.0000000  269.120 41.440 1012.710
20866 2452176.2500000  272.740 40.800 1012.850
20866 2452176.5000000  277.120 42.900 1011.080
20866 2452176.7500000  279.220 44.000 1010.120
20866 2452177.0000000  281.120 44.440 1009.940
20866 2452177.2500000  282.080 43.070 1009.760
20866 2452177.5000000  283.070 40.260 1007.710
20866 2452177.7500000  284.250 42.630 1005.890
20866 2452178.0000000  284.470 44.510 1005.250
20866 2452178.2500000  283.260 45.970 1006.620
20866 2452178.5000000  280.390 45.880 1007.510
20866 2452178.7500000  278.880 45.530 1007.080
20866 2452179.0000000  278.470 45.250 1007.850
20866 2452179.2500000  278.840 44.770 1008.510
20866 2452179.5000000  279.780 44.450 1010.030
20866 2452179.7500000  281.020 44.040 1010.450
20866 2452180.0000000  282.550 43.900 1011.670
