 6729 2451961.5000000  320.320 35.780 1019.360
 6729 2451961.7500000  319.760 31.610 1016.790
 6729 2451962.0000000  320.380 32.070 1018.120
 6729 2451962.2500000  320.710 31.550 1016.880
 6729 2451962.5000000  321.380 31.610 1017.360
 6729 2451962.7500000  322.530 32.770 1015.790
 6729 2451963.0000000  323.370 34.380 1015.710
 6729 2451963.2500000  324.130 35.040 1013.880
 6729 2451963.5000000  325.050 35.710 1014.780
 6729 2451963.7500000  325.540 36.590 1013.930
 6729 2451964.0000000  325.550 36.740 1014.420
 6729 2451964.2500000  325.600 35.800 1012.950
 6729 2451964.5000000  326.120 34.560 1013.640
 6729 2451964.7500000  325.490 33.670 1011.420
 6729 2451965.0000000  324.650 32.740 1011.150
 6729 2451965.2500000  324.610 32.350 1008.310
 6729 2451965.5000000  324.960 32.330 1006.890
 6729 2451965.7500000  325.300 32.530 1002.460
 6729 2451966.0000000  326.100 33.150 1001.230
 6729 2451966.2500000  325.830 34.010 999.240
