 9407 2452016.0000000  309.700 50.250 993.330
 9407 2452016.2500000  307.990 52.660 993.560
 9407 2452016.5000000  306.220 54.380 993.680
 9407 2452016.7500000  304.020 56.430 994.350
 9407 2452017.0000000  302.150 57.440 996.600
 9407 2452017.2500000  301.360 58.510 999.550
 9407 2452017.5000000  300.740 59.770 1001.080
 9407 2452017.7500000  300.540 60.720 1000.940
 9407 2452018.0000000  299.940 61.840 1000.530
 9407 2452018.2500000  300.010 63.070 1001.420
 9407 2452018.5000000  299.500 63.680 1003.250
 9407 2452018.7500000  299.240 64.240 1005.070
 9407 2452019.0000000  298.240 64.530 1006.800
