 3033 2451925.0000000  312.200 44.990 1010.090
 3033 2451925.2500000  318.060 49.860 1000.620
 3033 2451925.5000000  321.210 51.390 996.500
 3033 2451925.7500000  323.990 54.490 993.390
 3033 2451926.0000000  326.640 58.900 993.430
 3033 2451926.2500000  329.220 63.800 990.150
 3033 2451926.5000000  330.790 67.700 986.210
 3033 2451926.7500000  340.740 70.660 995.860
 3033 2451927.0000000  348.980 74.480 992.890
 3033 2451927.2500000  353.910 77.370 982.980
 3033 2451927.5000000  355.990 78.570 978.190
