 3104 2451916.5000000  260.420 32.830 1006.950
 3104 2451916.7500000  262.890 32.960 1008.390
 3104 2451917.0000000  265.040 32.310 1009.260
 3104 2451917.2500000  267.440 31.970 1011.740
 3104 2451917.5000000  271.260 32.560 1010.770
 3104 2451917.7500000  274.170 32.690 1010.200
 3104 2451918.0000000  277.820 33.630 1009.070
 3104 2451918.2500000  282.280 34.910 1007.360
 3104 2451918.5000000  286.890 35.810 1005.450
 3104 2451918.7500000  291.680 39.360 1001.440
 3104 2451919.0000000  295.650 40.410 999.460
