10389 2452005.0000000  338.990 61.770 998.310
10389 2452005.2500000  338.940 61.960 997.070
10389 2452005.5000000  339.310 62.610 997.550
10389 2452005.7500000  339.320 64.590 999.050
10389 2452006.0000000  339.810 64.920 999.320
10389 2452006.2500000  339.920 64.820 1000.930
10389 2452006.5000000  342.480 63.790 1003.470
10389 2452006.7500000  347.220 62.940 1003.820
10389 2452007.0000000  348.120 62.710 1003.930
10389 2452007.2500000  349.760 62.660 1004.660
10389 2452007.5000000  349.130 62.720 1005.120
10389 2452007.7500000  349.450 62.470 1006.300
10389 2452008.0000000  349.470 62.540 1006.810
10389 2452008.2500000  351.900 62.600 1007.360
