 8481 2451983.5000000  261.860 37.960 997.270
 8481 2451983.7500000  261.750 34.900 999.410
 8481 2451984.0000000  263.380 37.430 997.900
 8481 2451984.2500000  264.940 36.840 996.990
 8481 2451984.5000000  268.070 37.260 998.480
 8481 2451984.7500000  270.480 37.760 1000.200
 8481 2451985.0000000  273.060 38.570 1003.500
 8481 2451985.2500000  276.260 39.290 1005.650
 8481 2451985.5000000  278.740 40.020 1008.460
 8481 2451985.7500000  281.460 40.070 1011.510
 8481 2451986.0000000  281.860 40.360 1013.650
 8481 2451986.2500000  283.630 40.530 1014.220
