 9475 2451994.2500000  301.430 52.730 997.320
 9475 2451994.5000000  306.630 51.300 1000.650
 9475 2451994.7500000  311.190 54.070 998.550
 9475 2451995.0000000  311.080 55.470 997.260
 9475 2451995.2500000  310.300 55.830 998.250
 9475 2451995.5000000  310.880 55.720 1001.130
 9475 2451995.7500000  309.770 55.250 1002.590
 9475 2451996.0000000  309.920 54.960 1003.620
 9475 2451996.2500000  310.650 55.150 1004.200
 9475 2451996.5000000  312.020 55.320 1007.310
 9475 2451996.7500000  311.120 55.180 1008.110
 9475 2451997.0000000  307.670 53.510 1006.560
 9475 2451997.2500000  307.670 52.600 1003.160
