21101 2452182.2500000  260.920 70.450 986.600
21101 2452182.5000000  264.490 70.780 987.970
21101 2452182.7500000  267.730 70.970 988.910
21101 2452183.0000000  271.130 70.920 989.810
21101 2452183.2500000  274.680 70.480 989.400
21101 2452183.5000000  278.580 69.870 989.340
21101 2452183.7500000  282.290 68.860 988.070
21101 2452184.0000000  283.240 68.350 987.970
21101 2452184.2500000  283.550 68.130 987.680
21101 2452184.5000000  284.380 68.010 988.250
21101 2452184.7500000  284.880 67.950 988.660
21101 2452185.0000000  284.860 67.800 988.950
21101 2452185.2500000  285.890 67.440 989.870
21101 2452185.5000000  286.370 67.450 991.770
21101 2452185.7500000  286.990 67.290 992.460
21101 2452186.0000000  288.450 67.180 994.330
21101 2452186.2500000  298.080 67.220 994.860
21101 2452186.5000000  298.180 68.400 996.480
21101 2452186.7500000  297.450 69.440 997.570
21101 2452187.0000000  296.770 70.500 1000.000
21101 2452187.2500000  295.450 71.550 1002.280
21101 2452187.5000000  291.540 73.310 1004.470
21101 2452187.7500000  286.640 74.410 1004.760
21101 2452188.0000000  283.920 74.950 1005.960
21101 2452188.2500000  281.970 75.490 1006.520
21101 2452188.5000000  278.470 75.890 1007.430
