 4088 2451929.0000000  274.160 33.320 1007.980
 4088 2451929.2500000  276.720 34.150 1006.910
 4088 2451929.5000000  278.930 35.060 1008.220
 4088 2451929.7500000  279.940 34.820 1009.620
 4088 2451930.0000000  281.100 34.730 1009.390
 4088 2451930.2500000  285.670 36.600 1007.940
 4088 2451930.5000000  287.480 37.670 1005.660
 4088 2451930.7500000  289.360 38.820 1001.610
 4088 2451931.0000000  291.350 40.600 997.660
 4088 2451931.2500000  295.490 42.160 991.760
 4088 2451931.5000000  301.810 43.570 990.660
 4088 2451931.7500000  309.390 45.290 988.370
 4088 2451932.0000000  319.380 47.360 980.350
 4088 2451932.2500000  325.950 48.290 974.230
 4088 2451932.5000000  334.780 49.440 969.890
 4088 2451932.7500000  341.040 51.680 963.980
 4088 2451933.0000000  346.740 53.440 963.220
 4088 2451933.2500000  349.940 55.300 961.640
 4088 2451933.5000000  351.860 57.020 962.000
 4088 2451933.7500000  353.480 59.000 962.600
 4088 2451934.0000000  352.510 60.720 964.530
 4088 2451934.2500000  349.400 61.490 964.700
 4088 2451934.5000000  347.670 62.190 966.530
 4088 2451934.7500000  344.130 59.850 966.210
 4088 2451935.0000000  347.390 58.280 968.840
