 6652 2451977.7500000  280.460 36.350 1012.260
 6652 2451978.0000000  285.110 39.780 1010.890
 6652 2451978.2500000  287.660 39.620 1007.850
 6652 2451978.5000000  290.630 40.700 1003.920
 6652 2451978.7500000  291.690 42.460 998.710
 6652 2451979.0000000  292.850 43.380 994.030
 6652 2451979.2500000  295.700 45.320 990.840
 6652 2451979.5000000  297.040 46.520 988.980
 6652 2451979.7500000  299.180 47.480 988.480
 6652 2451980.0000000  301.630 49.600 988.130
 6652 2451980.2500000  303.910 51.930 986.110
 6652 2451980.5000000  307.820 54.510 985.030
 6652 2451980.7500000  307.900 55.970 983.080
 6652 2451981.0000000  307.480 56.530 986.370
 6652 2451981.2500000  308.160 56.350 989.670
 6652 2451981.5000000  308.770 56.320 992.650
 6652 2451981.7500000  309.460 56.560 994.510
 6652 2451982.0000000  309.800 56.780 998.730
 6652 2451982.2500000  310.480 56.690 1002.160
 6652 2451982.5000000  311.440 56.510 1006.290
 6652 2451982.7500000  313.000 56.280 1008.080
