23276 2452208.5000000  291.140 48.830 994.940
23276 2452208.7500000  295.180 49.750 995.180
23276 2452209.0000000  296.530 52.860 992.570
23276 2452209.2500000  299.270 55.400 990.890
23276 2452209.5000000  302.750 57.480 990.010
23276 2452209.7500000  304.490 59.290 987.770
23276 2452210.0000000  306.170 60.720 987.680
23276 2452210.2500000  306.970 61.460 989.310
23276 2452210.5000000  307.790 62.520 993.040
23276 2452210.7500000  308.850 64.440 995.610
23276 2452211.0000000  310.780 65.480 998.770
23276 2452211.2500000  314.130 66.360 1001.790
23276 2452211.5000000  320.560 62.800 1001.880
23276 2452211.7500000  321.780 62.490 1000.280
23276 2452212.0000000  322.610 62.120 999.490
23276 2452212.2500000  326.170 61.690 998.580
