22090 2452191.2500000  306.020 38.220 1017.120
22090 2452191.5000000  306.680 38.020 1017.960
22090 2452191.7500000  308.760 39.120 1015.560
22090 2452192.0000000  310.920 40.240 1014.720
22090 2452192.2500000  313.290 41.710 1011.360
22090 2452192.5000000  316.540 43.840 1009.470
22090 2452192.7500000  320.360 46.130 1006.210
22090 2452193.0000000  323.970 47.620 1005.600
22090 2452193.2500000  326.140 48.390 1004.290
22090 2452193.5000000  331.470 50.900 1002.960
22090 2452193.7500000  335.600 52.820 998.540
22090 2452194.0000000  340.700 55.640 996.190
22090 2452194.2500000  346.190 59.290 993.590
22090 2452194.5000000  352.140 62.190 991.800
22090 2452194.7500000  358.410 65.010 990.810
22090 2452198.7500000  358.370 80.040 1018.960
22090 2452199.0000000  355.980 81.340 1017.810
22090 2452199.2500000  356.020 82.960 1014.790
22090 2452199.5000000  355.560 84.420 1011.830
22090 2452199.7500000  354.230 85.390 1008.200
22090 2452200.0000000  354.800 85.920 1008.270
