14561 2452088.2500000  357.770 20.930 1003.940
14561 2452088.5000000  356.680 21.040 1005.680
14561 2452088.7500000  355.770 21.360 1006.630
14561 2452089.0000000  356.140 21.990 1006.930
14561 2452089.2500000  354.770 21.430 1003.010
14561 2452089.5000000  352.510 21.270 1005.560
14561 2452089.7500000  351.770 21.500 1007.160
14561 2452090.0000000  351.350 21.770 1007.480
14561 2452090.2500000  350.310 21.330 1004.930
14561 2452090.5000000  348.420 21.150 1007.530
14561 2452090.7500000  346.610 20.800 1009.350
