26099 2452188.7500000  345.470 58.920 978.920
26099 2452189.0000000  341.910 58.980 976.420
26099 2452189.2500000  340.150 58.720 974.620
26099 2452189.5000000  339.420 57.610 975.610
26099 2452189.7500000  341.230 56.600 975.470
26099 2452190.0000000  352.300 51.140 980.940
26099 2452190.2500000  355.090 53.120 977.860
26099 2452190.5000000  356.460 55.040 976.830
26099 2452190.7500000  357.430 56.370 977.820
26099 2452191.0000000  357.880 57.450 981.660
26099 2452191.2500000  358.480 58.050 985.340
26099 2452191.5000000  359.380 58.070 988.360
