20390 2452169.0000000  265.170 57.280 1003.520
20390 2452169.2500000  270.330 55.740 1002.810
20390 2452169.5000000  276.590 54.480 1003.340
20390 2452169.7500000  281.950 54.200 1002.400
20390 2452170.0000000  286.930 54.830 1002.350
20390 2452170.2500000  290.940 56.360 1000.880
20390 2452170.5000000  294.570 56.390 1001.240
20390 2452170.7500000  299.700 56.090 1000.220
20390 2452171.0000000  302.780 56.990 999.170
20390 2452171.2500000  305.140 57.960 998.210
20390 2452171.5000000  307.630 59.140 999.470
20390 2452171.7500000  308.400 59.940 1002.260
20390 2452172.0000000  309.310 60.630 1005.470
20390 2452172.2500000  309.650 61.380 1007.270
20390 2452172.5000000  307.660 65.420 1010.040
20390 2452172.7500000  302.740 69.930 1010.040
20390 2452173.0000000  300.070 70.400 1010.670
20390 2452173.2500000  277.810 70.020 1010.600
20390 2452173.5000000  277.230 69.980 1012.240
20390 2452173.7500000  281.280 67.640 1011.530
20390 2452174.0000000  282.010 67.500 1010.710
20390 2452174.2500000  283.270 67.440 1009.950
20390 2452174.5000000  286.100 67.620 1010.760
20390 2452174.7500000  290.360 68.060 1011.330
20390 2452175.0000000  298.940 69.430 1010.470
20390 2452175.2500000  300.500 71.470 1010.040
20390 2452175.5000000  300.000 74.120 1011.760
20390 2452175.7500000  296.320 76.140 1013.990
20390 2452176.0000000  294.070 76.520 1018.800
20390 2452176.2500000  292.420 76.730 1023.010
