 2475 2451915.7500000  290.770 6.100 1010.320
 2475 2451916.0000000  290.620 4.970 1011.560
 2475 2451916.2500000  291.690 6.890 1009.780
 2475 2451916.5000000  291.200 6.930 1008.740
 2475 2451916.7500000  290.890 5.770 1009.620
 2475 2451917.0000000  290.560 4.610 1010.460
 2475 2451917.2500000  291.210 6.020 1009.430
 2475 2451917.5000000  290.900 6.240 1008.760
 2475 2451917.7500000  290.620 5.100 1010.270
 2475 2451918.0000000  290.610 5.140 1011.490
 2475 2451918.2500000  291.430 6.440 1009.870
 2475 2451918.5000000  290.750 6.070 1008.800
 2475 2451918.7500000  290.710 5.550 1010.140
 2475 2451919.0000000  290.500 4.420 1011.500
 2475 2451919.2500000  286.340 0.560 1009.540
 2475 2451919.5000000  286.300 0.510 1008.540
