 2242 2451912.2500000  298.790 37.830 1012.440
 2242 2451912.5000000  300.930 37.640 1008.810
 2242 2451912.7500000  304.910 38.280 1003.520
 2242 2451913.0000000  309.160 39.020 1000.270
 2242 2451913.2500000  314.370 40.080 996.250
 2242 2451913.5000000  319.220 41.120 994.460
 2242 2451913.7500000  323.700 41.910 991.310
 2242 2451914.0000000  329.110 42.890 990.740
 2242 2451914.2500000  335.110 43.750 988.040
 2242 2451914.5000000  342.050 45.010 987.770
 2242 2451914.7500000  348.770 46.610 986.290
 2242 2451915.0000000  354.150 48.360 986.780
 2242 2451915.2500000  359.760 50.900 986.470
