 7086 2451965.7500000  307.290 54.500 1004.080
 7086 2451966.0000000  307.280 57.960 1007.750
 7086 2451966.2500000  306.180 62.010 1008.950
 7086 2451966.5000000  304.920 66.080 1006.200
 7086 2451966.7500000  299.010 69.050 1005.680
 7086 2451967.0000000  296.050 69.840 1009.080
 7086 2451967.2500000  294.080 70.880 1013.480
 7086 2451967.5000000  291.680 71.960 1015.310
 7086 2451967.7500000  288.350 72.640 1015.560
 7086 2451968.0000000  289.720 73.870 1013.730
 7086 2451968.2500000  287.850 75.080 1011.690
 7086 2451968.5000000  293.360 77.830 1010.920
 7086 2451968.7500000  303.070 80.280 1010.440
 7086 2451969.0000000  318.220 82.250 1009.780
 7086 2451969.2500000  319.000 83.590 1012.060
 7086 2451969.5000000  326.870 84.570 1016.290
 7086 2451969.7500000  312.580 85.570 1020.150
 7086 2451970.0000000  305.900 86.110 1021.600
 7086 2451970.2500000  288.830 85.950 1023.220
 7086 2451970.5000000  280.980 85.800 1023.820
