 4393 2451934.5000000  358.610 63.510 972.430
 4393 2451934.7500000  356.590 65.880 974.470
 4393 2451935.0000000  351.840 66.540 975.580
 4393 2451935.2500000  349.980 67.220 976.130
 4393 2451935.5000000  348.420 68.650 981.670
 4393 2451935.7500000  346.530 67.020 979.470
 4393 2451936.0000000  344.990 66.870 979.920
 4393 2451936.2500000  351.040 63.160 974.900
 4393 2451936.5000000  353.900 64.860 977.480
 4393 2451936.7500000  349.040 63.930 979.310
 4393 2451937.0000000  349.030 65.470 981.700
 4393 2451937.2500000  347.390 65.610 985.680
 4393 2451937.5000000  348.200 64.310 990.810
 4393 2451937.7500000  348.740 65.120 997.190
