 3537 2451934.0000000  263.200 69.010 993.530
 3537 2451934.2500000  269.270 68.750 991.370
 3537 2451934.5000000  273.670 68.280 990.690
 3537 2451934.7500000  276.770 67.900 988.930
 3537 2451935.0000000  278.460 67.420 988.260
 3537 2451935.2500000  279.030 66.630 986.770
 3537 2451935.5000000  279.960 66.020 986.410
 3537 2451935.7500000  281.760 63.750 984.130
 3537 2451936.0000000  283.030 63.770 983.630
 3537 2451936.2500000  283.320 64.080 984.210
 3537 2451936.5000000  283.500 64.260 986.290
 3537 2451936.7500000  291.570 63.460 988.330
 3537 2451937.0000000  300.100 64.340 988.880
 3537 2451937.2500000  294.370 64.930 991.000
 3537 2451937.5000000  291.930 65.780 992.650
 3537 2451937.7500000  289.940 66.650 993.550
 3537 2451938.0000000  289.840 67.150 995.110
 3537 2451938.2500000  281.900 68.930 997.280
 3537 2451938.5000000  277.680 67.020 998.700
