25295 2452239.5000000  324.980 64.970 982.440
25295 2452239.7500000  329.960 64.850 974.140
25295 2452240.0000000  332.140 64.600 969.260
25295 2452240.2500000  336.220 63.920 967.870
25295 2452240.5000000  344.090 64.030 963.310
25295 2452240.7500000  344.690 64.100 963.510
25295 2452241.0000000  347.090 63.720 966.810
25295 2452241.2500000  350.470 63.900 971.230
25295 2452241.5000000  352.320 65.500 975.180
25295 2452241.7500000  350.820 67.820 978.820
25295 2452242.0000000  348.020 69.700 978.530
25295 2452242.2500000  343.580 70.940 977.390
25295 2452242.5000000  339.390 70.980 979.050
25295 2452242.7500000  336.660 70.450 982.580
