14768 2452057.0000000  343.420 59.900 1000.280
14768 2452057.2500000  345.150 60.750 1000.470
14768 2452057.5000000  346.900 61.590 1000.820
14768 2452057.7500000  344.610 62.180 1001.960
14768 2452058.0000000  338.420 63.320 1003.730
14768 2452058.2500000  339.120 63.470 1003.480
14768 2452058.5000000  339.360 63.930 1005.030
14768 2452058.7500000  339.160 64.000 1007.030
14768 2452059.0000000  339.620 64.920 1007.590
14768 2452059.2500000  340.990 65.210 1008.260
14768 2452059.5000000  341.550 65.980 1008.510
14768 2452059.7500000  341.030 66.590 1008.150
14768 2452060.0000000  343.030 67.170 1006.910
14768 2452060.2500000  343.030 67.690 1005.710
14768 2452060.5000000  346.840 67.630 1003.030
14768 2452060.7500000  350.930 67.390 1000.730
14768 2452061.0000000  352.160 67.740 997.200
14768 2452061.2500000  354.280 67.550 995.120
14768 2452061.5000000  357.650 66.910 995.350
