12866 2452034.5000000  290.340 43.130 1013.430
12866 2452034.7500000  294.130 44.020 1012.690
12866 2452035.0000000  296.720 43.380 1011.690
12866 2452035.2500000  299.760 42.390 1012.300
12866 2452035.5000000  302.300 41.150 1011.930
12866 2452035.7500000  304.320 40.880 1010.530
12866 2452036.0000000  306.550 40.830 1012.580
12866 2452036.2500000  308.750 41.070 1013.490
12866 2452036.5000000  311.780 42.000 1014.460
12866 2452036.7500000  315.270 43.790 1014.030
12866 2452037.0000000  318.280 46.740 1012.410
12866 2452037.2500000  321.320 49.870 1008.780
12866 2452037.5000000  322.260 52.790 1006.850
12866 2452037.7500000  324.490 54.890 997.990
12866 2452038.0000000  325.110 56.950 993.090
12866 2452038.2500000  325.780 58.630 986.740
12866 2452038.5000000  325.190 59.970 986.020
12866 2452038.7500000  324.440 60.870 983.770
12866 2452039.0000000  323.830 61.110 989.180
12866 2452039.2500000  323.280 60.990 994.720
12866 2452039.5000000  322.910 60.650 1004.240
12866 2452039.7500000  322.240 59.680 1010.510
12866 2452040.0000000  321.240 58.380 1015.810
