 6097 2451970.2500000  260.360 53.450 997.610
 6097 2451970.5000000  263.830 53.340 997.950
 6097 2451970.7500000  264.990 53.760 998.810
 6097 2451971.0000000  267.030 52.840 1001.820
 6097 2451971.2500000  269.120 50.640 1003.790
 6097 2451971.5000000  269.430 48.750 1004.780
 6097 2451971.7500000  270.810 47.470 1005.830
 6097 2451972.0000000  272.270 46.050 1008.670
 6097 2451972.2500000  272.190 45.070 1010.550
 6097 2451972.5000000  273.800 43.430 1011.590
 6097 2451972.7500000  275.930 43.470 1012.630
 6097 2451973.0000000  277.000 43.740 1012.950
