 4560 2451935.0000000  287.420 34.960 1012.140
 4560 2451935.2500000  289.640 35.100 1007.880
 4560 2451935.5000000  292.150 35.280 1002.820
 4560 2451935.7500000  293.660 34.640 999.090
 4560 2451936.0000000  297.460 36.430 997.730
 4560 2451936.2500000  298.920 37.000 989.890
 4560 2451936.5000000  301.170 37.830 988.960
 4560 2451936.7500000  303.280 39.320 986.140
 4560 2451937.0000000  305.200 40.910 985.410
 4560 2451937.2500000  307.840 43.110 982.910
 4560 2451937.5000000  310.320 45.850 982.420
 4560 2451937.7500000  313.140 49.160 978.010
 4560 2451938.0000000  315.900 51.590 977.030
 4560 2451938.2500000  318.560 53.500 976.910
 4560 2451938.5000000  321.270 56.690 979.550
 4560 2451938.7500000  323.130 58.500 981.420
 4560 2451939.0000000  323.830 60.510 983.230
 4560 2451939.2500000  324.150 61.700 984.750
 4560 2451939.5000000  324.230 62.990 988.430
 4560 2451939.7500000  324.040 63.910 992.600
 4560 2451940.0000000  324.990 64.520 1000.220
 4560 2451940.2500000  328.070 64.580 1003.960
