 6200 2451955.5000000  355.510 29.800 1018.000
 6200 2451955.7500000  353.390 28.800 1017.310
 6200 2451956.0000000  353.070 28.710 1016.940
 6200 2451956.2500000  353.420 28.230 1013.600
 6200 2451956.5000000  353.820 28.150 1015.880
 6200 2451956.7500000  352.950 28.030 1016.060
 6200 2451957.0000000  352.640 28.310 1016.220
 6200 2451957.2500000  353.320 27.840 1013.490
 6200 2451957.5000000  353.830 27.220 1016.620
 6200 2451957.7500000  355.040 26.410 1016.940
 6200 2451958.0000000  355.910 25.980 1016.690
 6200 2451958.2500000  356.450 24.970 1014.350
