 3733 2451936.0000000  273.340 49.130 1009.070
 3733 2451936.2500000  273.930 47.070 1009.860
 3733 2451936.5000000  275.310 44.820 1008.310
 3733 2451936.7500000  278.950 44.360 1007.270
 3733 2451937.0000000  283.450 43.710 1007.300
 3733 2451937.2500000  289.670 42.870 1005.810
 3733 2451937.5000000  294.580 39.100 1005.410
 3733 2451937.7500000  298.070 38.860 1001.680
 3733 2451938.0000000  301.570 39.410 998.460
 3733 2451938.2500000  304.800 40.330 993.280
 3733 2451938.5000000  307.570 41.590 991.280
 3733 2451938.7500000  309.500 43.370 989.790
 3733 2451939.0000000  310.340 45.250 987.800
 3733 2451939.2500000  310.650 46.510 985.100
 3733 2451939.5000000  311.740 47.400 985.320
 3733 2451939.7500000  313.150 48.730 984.240
 3733 2451940.0000000  314.910 50.510 984.720
 3733 2451940.2500000  316.610 52.810 982.030
 3733 2451940.5000000  317.740 55.670 980.420
 3733 2451940.7500000  317.560 57.710 977.280
 3733 2451941.0000000  317.460 59.140 976.630
 3733 2451941.2500000  317.030 60.400 977.460
 3733 2451941.5000000  316.270 61.510 980.850
