23618 2452160.2500000  261.440 36.990 1000.360
23618 2452160.5000000  263.840 38.360 999.300
23618 2452160.7500000  266.760 41.810 1000.530
23618 2452161.0000000  270.180 46.410 999.730
23618 2452161.2500000  273.190 48.000 1001.470
23618 2452161.5000000  278.870 50.130 1002.740
23618 2452161.7500000  284.130 52.010 1003.670
23618 2452162.0000000  288.390 52.950 1006.470
23618 2452162.2500000  294.430 52.960 1008.940
23618 2452162.5000000  300.590 52.190 1012.820
23618 2452162.7500000  308.140 52.230 1013.820
23618 2452163.0000000  312.090 52.670 1014.680
23618 2452163.2500000  313.870 52.370 1013.850
