28292 2452216.2500000  342.970 31.820 1016.230
28292 2452216.5000000  343.720 32.740 1017.350
28292 2452216.7500000  343.730 33.590 1016.890
28292 2452217.0000000  344.290 34.190 1017.440
28292 2452217.2500000  344.620 34.580 1015.920
28292 2452217.5000000  345.090 34.700 1016.090
28292 2452217.7500000  346.040 35.500 1014.010
28292 2452218.0000000  346.510 35.720 1013.680
28292 2452218.2500000  347.330 35.540 1012.170
28292 2452218.5000000  347.180 35.230 1012.970
28292 2452218.7500000  347.960 35.320 1011.900
28292 2452219.0000000  348.040 35.380 1013.300
28292 2452219.2500000  346.510 34.700 1012.200
28292 2452219.5000000  346.160 33.900 1013.170
28292 2452219.7500000  346.280 33.850 1012.410
28292 2452220.0000000  347.490 33.740 1013.670
28292 2452220.2500000  348.010 33.860 1013.210
28292 2452220.5000000  348.410 33.870 1013.900
28292 2452220.7500000  348.250 34.100 1014.170
28292 2452221.0000000  347.680 34.580 1015.880
28292 2452221.2500000  346.850 34.610 1016.250
28292 2452221.5000000  346.350 34.660 1017.980
28292 2452221.7500000  345.970 34.470 1017.900
