24580 2452228.2500000  282.000 26.410 1013.010
24580 2452228.5000000  281.060 27.930 1011.730
24580 2452228.7500000  280.940 28.540 1010.690
24580 2452229.0000000  280.630 28.830 1009.860
24580 2452229.2500000  281.160 28.950 1009.480
24580 2452229.5000000  281.400 28.890 1009.760
24580 2452229.7500000  282.710 29.450 1009.420
24580 2452230.0000000  283.080 29.400 1010.450
24580 2452230.2500000  284.800 29.440 1009.970
24580 2452230.5000000  285.520 28.900 1011.130
24580 2452230.7500000  286.890 28.200 1010.230
24580 2452231.0000000  287.710 27.320 1011.600
24580 2452231.2500000  289.200 26.810 1009.880
24580 2452231.5000000  290.430 26.350 1010.390
24580 2452231.7500000  292.320 25.870 1009.210
24580 2452232.0000000  293.380 25.260 1009.860
24580 2452232.2500000  294.580 24.360 1008.470
24580 2452232.5000000  295.370 23.690 1009.070
24580 2452232.7500000  296.020 23.010 1009.190
24580 2452233.0000000  296.400 22.500 1010.330
24580 2452233.2500000  296.490 21.670 1009.510
24580 2452233.5000000  296.900 21.380 1010.900
24580 2452233.7500000  297.260 21.160 1010.320
