32359 2452269.2500000  284.350 31.370 1015.060
32359 2452269.5000000  284.080 33.050 1013.710
32359 2452269.7500000  285.700 34.590 1010.040
32359 2452270.0000000  288.090 36.110 1006.230
32359 2452270.2500000  290.620 38.430 1001.210
32359 2452270.5000000  293.570 40.240 997.480
32359 2452270.7500000  295.990 41.410 991.700
32359 2452271.0000000  299.200 43.270 986.430
32359 2452271.2500000  301.590 46.000 980.580
32359 2452271.5000000  303.500 48.230 977.800
32359 2452271.7500000  302.670 51.050 974.130
32359 2452272.0000000  299.800 53.180 970.180
32359 2452272.2500000  296.720 54.470 967.570
32359 2452272.5000000  293.720 55.140 969.270
32359 2452272.7500000  289.810 55.200 970.940
32359 2452273.0000000  287.240 54.320 972.130
32359 2452273.2500000  287.560 53.960 974.270
32359 2452273.5000000  288.320 54.740 979.190
32359 2452273.7500000  286.060 54.840 982.210
32359 2452274.0000000  283.820 54.360 985.080
32359 2452274.2500000  284.030 53.770 987.240
32359 2452274.5000000  282.810 53.470 992.690
32359 2452274.7500000  282.440 52.740 994.900
32359 2452275.0000000  283.400 51.490 997.950
32359 2452275.2500000  287.420 51.120 1001.010
