23886 2452219.2500000  260.990 65.580 986.130
23886 2452219.5000000  263.550 65.400 987.960
23886 2452219.7500000  266.140 65.260 989.660
23886 2452220.0000000  268.940 65.130 990.570
23886 2452220.2500000  271.550 65.080 990.960
23886 2452220.5000000  274.780 64.740 992.220
23886 2452220.7500000  285.060 65.670 991.010
23886 2452221.0000000  285.370 66.920 989.880
23886 2452221.2500000  284.650 67.690 990.460
23886 2452221.5000000  285.180 68.300 991.350
23886 2452221.7500000  285.650 67.790 990.430
23886 2452222.0000000  296.310 71.300 985.510
23886 2452222.2500000  303.930 72.610 977.890
23886 2452222.5000000  303.830 67.710 963.510
23886 2452222.7500000  304.970 71.110 960.310
23886 2452223.0000000  303.360 76.480 960.000
23886 2452223.2500000  307.560 78.730 967.030
