24328 2452168.7500000  260.020 58.030 1006.640
24328 2452169.0000000  264.550 57.120 1003.560
24328 2452169.2500000  271.380 55.640 1002.870
24328 2452169.5000000  277.300 54.900 1003.680
24328 2452169.7500000  282.420 54.460 1002.840
24328 2452170.0000000  287.040 55.830 1001.430
24328 2452170.2500000  291.210 57.110 1001.020
24328 2452170.5000000  294.360 57.240 1000.870
24328 2452170.7500000  299.330 56.390 999.560
24328 2452171.0000000  300.910 57.230 999.060
24328 2452171.2500000  303.970 57.940 998.630
24328 2452171.5000000  306.840 59.070 1000.660
24328 2452171.7500000  308.050 59.860 1001.330
24328 2452172.0000000  307.860 64.850 1007.100
24328 2452172.2500000  309.240 61.650 1006.600
24328 2452172.5000000  308.240 63.060 1009.490
24328 2452172.7500000  302.450 68.810 1009.420
