28158 2452214.5000000  307.070 64.520 1000.060
28158 2452214.7500000  308.280 64.290 997.010
28158 2452215.0000000  315.290 60.650 987.590
28158 2452215.2500000  319.890 62.040 976.920
28158 2452215.5000000  321.630 63.330 973.990
28158 2452215.7500000  324.670 63.930 976.930
28158 2452216.0000000  331.490 65.210 982.310
28158 2452216.2500000  336.370 65.520 988.460
28158 2452216.5000000  338.870 65.230 995.970
28158 2452216.7500000  337.350 64.240 1000.750
28158 2452217.0000000  338.620 64.310 1003.590
28158 2452217.2500000  341.590 64.030 1004.870
28158 2452217.5000000  352.960 63.430 1003.700
28158 2452217.7500000  355.090 62.170 1005.300
