 5566 2451963.0000000  322.240 32.740 1018.360
 5566 2451963.2500000  323.460 33.430 1016.340
 5566 2451963.5000000  324.840 35.900 1016.730
 5566 2451963.7500000  325.490 37.180 1015.030
 5566 2451964.0000000  325.750 37.150 1016.030
 5566 2451964.2500000  325.860 36.400 1014.390
 5566 2451964.5000000  325.590 35.350 1015.280
 5566 2451964.7500000  324.940 34.150 1012.560
 5566 2451965.0000000  324.440 33.340 1012.340
 5566 2451965.2500000  324.480 32.850 1009.480
 5566 2451965.5000000  324.520 32.770 1008.430
 5566 2451965.7500000  324.970 32.930 1004.800
 5566 2451966.0000000  325.620 33.550 1003.270
