 2479 2451908.7500000  317.950 40.150 995.710
 2479 2451909.0000000  325.040 43.380 989.000
 2479 2451909.2500000  331.500 46.730 978.460
 2479 2451909.5000000  336.980 50.420 973.510
 2479 2451909.7500000  339.560 52.820 959.740
 2479 2451910.0000000  339.790 54.070 955.830
 2479 2451910.2500000  339.700 54.160 952.820
 2479 2451910.5000000  339.720 53.360 955.950
 2479 2451910.7500000  341.450 51.870 958.630
 2479 2451911.0000000  345.100 51.430 963.700
 2479 2451911.2500000  347.130 51.810 967.540
 2479 2451911.5000000  349.560 50.770 971.830
 2479 2451911.7500000  353.140 51.970 973.990
 2479 2451912.0000000  355.930 54.060 976.550
 2479 2451912.2500000  358.300 55.530 978.500
 2479 2451912.5000000  359.230 57.410 979.600
 2479 2451912.7500000  358.250 59.280 978.920
 2479 2451913.0000000  355.430 60.680 980.070
 2479 2451913.2500000  354.580 61.060 979.700
 2479 2451913.5000000  350.980 58.250 978.920
 2479 2451913.7500000  351.270 57.730 979.350
 2479 2451914.0000000  352.700 58.890 981.740
 2479 2451914.2500000  353.680 59.480 981.930
 2479 2451914.5000000  353.110 59.780 982.710
 2479 2451914.7500000  353.230 59.210 981.290
