29771 2452236.5000000  266.220 69.050 997.630
29771 2452236.7500000  274.000 69.040 997.060
29771 2452237.0000000  280.980 68.340 994.330
29771 2452237.2500000  284.930 68.920 992.420
29771 2452237.5000000  290.840 69.110 992.730
29771 2452237.7500000  298.190 69.110 992.280
29771 2452238.0000000  301.060 70.380 990.600
29771 2452238.2500000  301.230 71.320 990.200
29771 2452238.5000000  301.560 71.530 991.660
29771 2452238.7500000  301.720 71.300 992.580
29771 2452239.0000000  301.720 71.280 991.890
29771 2452239.2500000  302.380 71.040 992.150
29771 2452239.5000000  304.860 70.810 996.250
29771 2452239.7500000  306.760 70.360 1001.320
29771 2452240.0000000  304.630 70.750 1005.930
29771 2452240.2500000  304.650 70.340 1008.720
29771 2452240.5000000  304.750 65.510 1006.920
29771 2452240.7500000  306.060 66.010 1001.640
29771 2452241.0000000  307.440 66.200 998.720
29771 2452241.2500000  307.900 65.170 997.210
29771 2452241.5000000  307.720 64.580 997.260
29771 2452241.7500000  308.340 64.350 997.910
29771 2452242.0000000  305.060 68.770 996.980
29771 2452242.2500000  304.370 68.920 997.530
29771 2452242.5000000  302.640 69.680 996.660
29771 2452242.7500000  305.430 66.800 996.300
29771 2452243.0000000  306.590 64.090 994.720
29771 2452243.2500000  306.190 64.450 994.410
29771 2452243.5000000  305.550 64.670 995.050
29771 2452243.7500000  305.230 65.440 995.140
29771 2452244.0000000  304.360 66.340 993.970
29771 2452244.2500000  304.470 65.950 993.450
29771 2452244.5000000  306.870 63.700 993.020
29771 2452244.7500000  308.690 63.360 991.950
29771 2452245.0000000  310.040 63.120 993.660
29771 2452245.2500000  306.840 64.280 998.550
29771 2452245.5000000  304.350 64.610 999.240
