20369 2452123.5000000  287.280 58.390 1002.480
20369 2452123.7500000  292.170 57.260 999.060
20369 2452124.0000000  297.310 56.730 996.100
20369 2452124.2500000  300.990 56.190 993.860
20369 2452124.5000000  304.420 55.840 993.560
20369 2452124.7500000  306.640 55.930 989.490
20369 2452125.0000000  308.460 55.980 988.830
20369 2452125.2500000  309.990 56.100 988.070
20369 2452125.5000000  311.710 56.220 989.180
20369 2452125.7500000  312.280 56.390 987.900
20369 2452126.0000000  313.310 56.930 991.980
20369 2452126.2500000  314.270 57.080 993.540
20369 2452126.5000000  316.300 57.070 997.750
20369 2452126.7500000  318.200 57.020 999.560
20369 2452127.0000000  319.830 57.000 1002.900
20369 2452127.2500000  325.340 56.780 1005.280
20369 2452127.5000000  328.510 56.790 1005.810
20369 2452127.7500000  331.210 56.020 1003.680
20369 2452128.0000000  337.670 56.050 1004.060
20369 2452128.2500000  338.770 55.150 1002.300
20369 2452128.5000000  341.910 54.670 1002.800
20369 2452128.7500000  348.250 53.610 1000.770
20369 2452129.0000000  354.200 53.120 999.890
20369 2452129.2500000  357.480 53.530 997.580
