22575 2452148.5000000  288.460 64.880 999.070
22575 2452148.7500000  285.830 63.920 998.240
22575 2452149.0000000  284.030 62.560 999.190
22575 2452149.2500000  283.460 61.090 998.930
22575 2452149.5000000  282.300 60.340 997.680
22575 2452149.7500000  283.470 59.610 997.200
22575 2452150.0000000  286.250 59.580 998.870
22575 2452150.2500000  288.370 60.360 999.670
22575 2452150.5000000  299.210 57.140 1000.330
22575 2452150.7500000  300.420 59.100 998.870
22575 2452151.0000000  302.750 59.790 999.270
22575 2452151.2500000  307.510 59.220 1000.130
