 4759 2451951.7500000  280.810 4.840 1006.850
 4759 2451952.0000000  280.730 5.150 1006.910
 4759 2451952.2500000  281.350 5.950 1007.070
 4759 2451952.5000000  284.310 8.990 1006.580
 4759 2451952.7500000  284.180 9.210 1007.700
 4759 2451953.0000000  283.250 9.080 1008.530
 4759 2451953.2500000  284.760 8.820 1008.480
 4759 2451953.5000000  284.590 9.020 1007.450
 4759 2451953.7500000  284.320 9.370 1008.050
 4759 2451954.0000000  283.540 9.310 1008.930
 4759 2451954.2500000  284.640 8.870 1008.110
 4759 2451954.5000000  284.640 9.210 1006.920
 4759 2451954.7500000  284.000 9.420 1008.260
