10338 2452028.2500000  292.830 39.230 1017.740
10338 2452028.5000000  296.240 39.700 1018.720
10338 2452028.7500000  299.010 40.330 1018.160
10338 2452029.0000000  301.610 40.740 1017.900
10338 2452029.2500000  304.480 40.780 1015.120
10338 2452029.5000000  307.340 40.950 1013.120
10338 2452029.7500000  309.950 41.540 1009.140
10338 2452030.0000000  312.350 45.150 1007.500
10338 2452030.2500000  312.730 46.450 1004.150
10338 2452030.5000000  312.280 47.730 1003.290
10338 2452030.7500000  310.350 48.110 1001.710
10338 2452031.0000000  308.110 48.060 1003.800
10338 2452031.2500000  305.820 47.620 1006.050
10338 2452031.5000000  303.990 46.650 1009.360
10338 2452031.7500000  303.420 44.920 1010.020
10338 2452032.0000000  305.190 43.240 1010.870
10338 2452032.2500000  308.490 42.410 1010.060
10338 2452032.5000000  311.690 42.870 1009.400
10338 2452032.7500000  314.820 44.400 1007.190
10338 2452033.0000000  316.320 47.500 1005.890
