19882 2452160.7500000  305.990 66.930 1005.460
19882 2452161.0000000  305.560 67.440 1003.320
19882 2452161.2500000  305.080 68.540 1001.130
19882 2452161.5000000  301.060 72.700 1002.530
19882 2452161.7500000  300.670 73.430 999.220
19882 2452162.0000000  302.200 72.530 995.840
19882 2452162.2500000  298.370 75.510 993.100
19882 2452162.5000000  295.740 76.080 995.180
19882 2452162.7500000  295.260 75.620 998.330
19882 2452163.0000000  295.660 75.370 1001.520
19882 2452163.2500000  296.780 75.570 1002.600
19882 2452163.5000000  296.430 75.870 1004.890
19882 2452163.7500000  296.810 76.360 1005.280
19882 2452164.0000000  294.310 76.830 1006.790
19882 2452164.2500000  292.170 77.320 1007.220
