22340 2452194.5000000  295.910 31.420 1008.520
22340 2452194.7500000  294.450 32.360 1005.880
22340 2452195.0000000  293.790 32.550 1006.600
22340 2452195.2500000  293.780 33.380 1005.570
22340 2452195.5000000  293.750 34.140 1006.560
22340 2452195.7500000  293.860 35.070 1007.340
22340 2452196.0000000  294.320 35.690 1009.450
22340 2452196.2500000  295.130 36.710 1009.650
22340 2452196.5000000  295.540 37.380 1010.880
22340 2452196.7500000  295.930 38.410 1010.410
22340 2452197.0000000  295.730 38.950 1011.270
22340 2452197.2500000  295.740 39.690 1009.910
22340 2452197.5000000  295.130 40.620 1010.260
22340 2452197.7500000  294.890 42.380 1008.850
22340 2452198.0000000  294.900 45.000 1008.430
22340 2452198.2500000  295.410 47.970 1004.010
22340 2452198.5000000  296.510 51.670 1000.380
22340 2452198.7500000  298.900 55.490 993.250
22340 2452199.0000000  301.340 57.280 988.890
22340 2452199.2500000  302.710 59.280 989.870
22340 2452199.5000000  303.020 61.080 992.760
22340 2452199.7500000  302.610 62.730 995.720
22340 2452200.0000000  300.090 65.350 999.040
22340 2452200.2500000  298.020 67.740 1001.270
