 6943 2451981.7500000  283.290 38.690 1008.470
 6943 2451982.0000000  284.360 39.250 1003.050
 6943 2451982.2500000  286.040 40.870 997.950
 6943 2451982.5000000  291.020 43.110 994.940
 6943 2451982.7500000  292.850 45.380 992.350
 6943 2451983.0000000  293.740 47.630 989.390
 6943 2451983.2500000  293.510 48.980 987.780
 6943 2451983.5000000  293.590 49.490 990.120
 6943 2451983.7500000  295.180 49.810 990.130
 6943 2451984.0000000  298.160 50.100 989.660
 6943 2451984.2500000  297.390 50.870 989.260
