 5530 2451962.5000000  299.980 47.160 1002.540
 5530 2451962.7500000  303.390 49.690 996.940
 5530 2451963.0000000  304.470 53.010 991.830
 5530 2451963.2500000  303.240 56.760 986.770
 5530 2451963.5000000  300.470 59.070 983.440
 5530 2451963.7500000  292.550 61.420 983.880
 5530 2451964.0000000  286.500 61.730 980.930
 5530 2451964.2500000  281.820 61.070 981.130
 5530 2451964.5000000  281.440 60.330 983.820
 5530 2451964.7500000  281.980 60.450 989.610
 5530 2451965.0000000  282.560 61.000 993.990
 5530 2451965.2500000  282.630 61.760 999.030
 5530 2451965.5000000  281.820 62.370 1003.360
 5530 2451965.7500000  281.870 62.530 1004.350
 5530 2451966.0000000  282.380 62.940 1004.620
 5530 2451966.2500000  282.570 63.580 1003.720
 5530 2451966.5000000  283.010 64.600 1004.690
 5530 2451966.7500000  281.190 65.580 1007.000
 5530 2451967.0000000  280.160 66.130 1010.910
 5530 2451967.2500000  270.870 62.420 1015.630
