 6773 2451979.5000000  285.590 54.920 1002.630
 6773 2451979.7500000  286.210 53.500 1000.710
 6773 2451980.0000000  289.420 53.900 999.590
 6773 2451980.2500000  292.630 54.200 997.610
 6773 2451980.5000000  296.380 51.040 997.700
 6773 2451980.7500000  298.320 50.160 999.660
 6773 2451981.0000000  300.880 49.310 1001.930
 6773 2451981.2500000  305.180 47.270 1001.110
 6773 2451981.5000000  309.820 47.210 996.750
 6773 2451981.7500000  312.160 48.560 991.080
 6773 2451982.0000000  314.000 48.870 991.630
 6773 2451982.2500000  316.360 49.040 993.400
 6773 2451982.5000000  319.340 48.640 995.580
 6773 2451982.7500000  323.060 48.250 995.670
 6773 2451983.0000000  330.350 49.730 994.400
 6773 2451983.2500000  333.590 49.720 991.770
 6773 2451983.5000000  334.890 50.120 990.750
 6773 2451983.7500000  334.380 49.780 990.720
 6773 2451984.0000000  335.160 48.330 993.150
 6773 2451984.2500000  337.430 46.230 994.360
 6773 2451984.5000000  341.080 44.660 995.920
 6773 2451984.7500000  344.900 43.610 997.050
 6773 2451985.0000000  348.490 43.710 999.080
