10880 2452035.2500000  288.300 23.950 1008.930
10880 2452035.5000000  288.960 25.040 1007.010
10880 2452035.7500000  289.710 25.680 1005.150
10880 2452036.0000000  289.660 25.640 1006.440
10880 2452036.2500000  289.800 25.260 1006.170
10880 2452036.5000000  289.820 24.740 1005.960
10880 2452036.7500000  290.310 24.160 1005.470
10880 2452037.0000000  290.700 23.940 1006.940
10880 2452037.2500000  291.620 24.060 1007.670
10880 2452037.5000000  292.350 24.460 1007.830
10880 2452037.7500000  293.710 25.410 1007.260
10880 2452038.0000000  295.300 28.080 1008.080
10880 2452038.2500000  295.460 29.550 1006.280
10880 2452038.5000000  295.040 30.940 1004.800
10880 2452038.7500000  294.650 31.610 1004.080
10880 2452039.0000000  294.930 32.000 1005.610
10880 2452039.2500000  295.640 32.900 1006.120
10880 2452039.5000000  296.160 34.400 1006.830
10880 2452039.7500000  296.440 36.670 1006.440
10880 2452040.0000000  297.200 38.250 1006.650
10880 2452040.2500000  298.720 40.030 1005.320
10880 2452040.5000000  299.420 41.820 1004.210
10880 2452040.7500000  299.680 42.930 1001.800
10880 2452041.0000000  300.140 43.420 1002.620
10880 2452041.2500000  300.300 43.330 1001.710
10880 2452041.5000000  301.040 43.130 1002.460
10880 2452041.7500000  302.000 42.620 1002.590
10880 2452042.0000000  303.110 42.100 1004.360
10880 2452042.2500000  304.260 41.630 1004.650
10880 2452042.5000000  305.960 40.650 1005.450
10880 2452042.7500000  307.900 39.960 1004.390
10880 2452043.0000000  309.170 39.390 1005.670
10880 2452043.2500000  311.020 38.460 1005.880
10880 2452043.5000000  314.110 37.850 1006.320
