 4169 2451943.0000000  286.570 36.800 1017.030
 4169 2451943.2500000  290.830 38.160 1010.590
 4169 2451943.5000000  295.480 39.410 1005.320
 4169 2451943.7500000  300.620 42.020 994.540
 4169 2451944.0000000  305.200 43.950 987.200
 4169 2451944.2500000  310.990 45.910 981.750
 4169 2451944.5000000  315.630 48.490 973.840
 4169 2451944.7500000  319.120 49.630 969.660
 4169 2451945.0000000  321.950 50.560 966.550
 4169 2451945.2500000  323.620 51.180 965.010
 4169 2451945.5000000  325.220 51.260 964.060
 4169 2451945.7500000  326.320 51.030 963.850
 4169 2451946.0000000  328.130 50.320 964.920
 4169 2451946.2500000  330.690 49.760 966.490
 4169 2451946.5000000  332.740 49.140 967.890
 4169 2451946.7500000  335.040 48.590 970.700
 4169 2451947.0000000  337.520 48.240 975.740
 4169 2451947.2500000  339.300 47.650 980.010
