 8425 2452002.5000000  285.040 9.350 1009.500
 8425 2452002.7500000  284.440 9.700 1010.140
 8425 2452003.0000000  283.770 9.760 1010.770
 8425 2452003.2500000  285.140 9.180 1010.590
 8425 2452003.5000000  284.780 9.560 1009.540
 8425 2452003.7500000  284.510 9.600 1010.150
 8425 2452004.0000000  283.540 9.380 1010.770
 8425 2452004.2500000  284.750 9.570 1009.870
 8425 2452004.5000000  284.650 9.710 1008.700
 8425 2452004.7500000  284.130 9.470 1010.180
 8425 2452005.0000000  283.460 9.500 1010.430
 8425 2452005.2500000  284.930 9.340 1009.560
 8425 2452005.5000000  284.500 9.590 1008.490
 8425 2452005.7500000  284.470 9.530 1009.630
 8425 2452006.0000000  283.720 9.460 1009.930
 8425 2452006.2500000  284.700 9.180 1009.440
 8425 2452006.5000000  284.070 9.610 1008.320
 8425 2452006.7500000  284.170 9.440 1009.130
 8425 2452007.0000000  283.330 9.350 1009.940
 8425 2452007.2500000  284.820 9.640 1010.160
 8425 2452007.5000000  284.330 9.670 1009.380
 8425 2452007.7500000  284.130 9.840 1010.820
 8425 2452008.0000000  283.480 9.620 1010.790
