 2711 2451911.5000000  351.390 55.550 971.780
 2711 2451911.7500000  352.200 56.990 972.050
 2711 2451912.0000000  351.700 58.420 972.790
 2711 2451912.2500000  350.870 58.680 973.480
 2711 2451912.5000000  349.380 58.460 976.090
 2711 2451912.7500000  348.640 57.710 975.380
 2711 2451913.0000000  349.110 57.370 976.110
 2711 2451913.2500000  350.010 57.660 977.240
 2711 2451913.5000000  347.680 56.840 979.330
 2711 2451913.7500000  340.930 54.210 982.900
 2711 2451914.0000000  340.860 53.970 984.100
 2711 2451914.2500000  343.010 54.440 984.700
 2711 2451914.5000000  343.120 52.450 983.720
 2711 2451914.7500000  347.390 51.490 983.860
